Joke,Counter
"Was ist rot, schnieft und läuft durch den Wald? — Rotzkäppchen!",0
Was essen Autos am liebsten? — Parkplätzchen.,0
Wie heißt ein Baum auf Russisch? — Dimitree.,0
Wie lautet der Vorname vom Reh? — Kartoffelpü.,0
Was essen Hunde im Restaurant? — Bell-Kartoffeln.,0
Wie heißt der Keks an der Börse? — Spekulatius.,0
Ich wollte Spiderman anrufen — er hatte kein Netz.,0
Hab mir gestern ein neues Dach gekauft — Ging aufs Haus!,0
Welcher Fußballer verliert immer sein Trikot? — Messi.,0
Was macht ein Clown im Büro? — Faxen!,0
Wie nennt man einen Schneemann im Sommer? — Eine Pfütze.,0
Welche Süßigkeit essen Bösewichte? — Schurkolade.,0
Was sitzt auf dem Baum und schreit „Aha“? — Ein Uhu mit Sprachfehler!,0
Welche Schuhe tragen Journalisten? — Skandalen.,0
Wie verführt man einen Drucker? — Mit Ausdruckstanz!,0
"Was ist groß, braun und schreibt sehr undeutlich? — Ein Kritzli-Bär.",0
Wie heißt der vegane Bruder von Bruce Lee? — Brocco Lee.,0
Was machen Kühe beim Schulausflug? — Sie gehen ins Muuu-seum!,0
Was ist schwarz-weiß und sitzt auf der Schaukel? — Ein Schwinguin!,0
Was sagt der große Stift zum kleinen Stift? — „Wachs-mal-stift!“,0
Welche Zeitform ist „Der Busfahrer ist pünktlich gewesen.“? — Buskamperfekt.,0
"Wie heißt ein Bär, der fliegen kann? — Hubschrau-Bär.",0
Welchen Arzt braucht Pinocchio? — Den Holz-Nasen-Ohren-Arzt.,0
Wie nennt man einen Hundewelpen? — Babybell!,0
Gestern habe ich den Käse aufgegessen und heute regnet es — Ain’t no sunshine when cheese gone!,0
"Was ist braun, klebrig und läuft durch die Wüste? — Ein Karamel!",0
Was ist grün und flüstert im Gurkensalat? — Dill Schweiger.,0
Was kaufen Leute mit zwei linken Füßen im Schuhladen? — Flip Flips.,0
Was ist gesund und beleidigt? — Ein Schmollkornbrot.,0
Was ist schwarz-gelb und dreht sich im Kreis? — Turbine Maja.,0
Was kommt aus einer defekten Kaffeemaschine? — Ein Kaputtcino.,0
Welche Witze kommen nie an? — Die über die Deutsche Bahn!,0
Was macht Bacardi im Regal? — Rum stehen.,0
Warum trinken Mäuse keinen Alkohol? — Sie haben Angst vor dem Kater!,0
Was machen Pilze auf Pizza? — Sie fungieren als Belag.,0
Was ist das Gegenteil von Reformhaus? — Reh hinterm Haus.,0
Was ist orange und geht den Berg hoch? — Eine Wanderine.,0
Was machen Mathematiker im Garten? — Wurzeln ziehen.,0
"Seit ich clean bin, sprechen meine Freunde nicht mehr mit mir — der Toaster und die Lampe auch nicht…",0
Wie heißt der Bruder von Elvis? — Zwölvis.,0
Warum legen Hühner Eier? — Weil sie beim Werfen kaputtgehen würden.,0
"Was ist grün und tötet dich, wenn es vom Baum fällt? — Ein Billardtisch.",0
Was ist grün und guckt durch das Schlüsselloch? — Ein Spionat!,0
Was macht die Security in der Nudelfabrik? — Die Pasta auf.,0
"Was ist klein, grün, rund und liegt im Sterben? — Eine Sterbse.",0
Was sagt die Null zur Acht? — „Schicker Gürtel!“,0
Was hüpft über die Wiese und qualmt? — Ein Kaminchen!,0
Wie nennt man einen Bauern mit Uni-Abschluss? — Einen Ackerdemiker!,0
Welches Werkzeug hat immer gute Ideen? — Der Vorschlaghammer,0
Was ist rot und steht an der Straße? — Eine Hagenutte!,0
Was ist schwarz-weiß gestreift und rennt durch den Wald? — Eine Knastanie!,0
"Wie heißt der Italiener, der sich ein Lamm leiht? — Lamborghini!",0
Was ist süß und schwingt sich durch den Dschungel? — Tarzipan!,0
im Video(00:50),0
Heute war Schrottwichteln im Kindergarten. — Wir sind die neuen Eltern von Kevin.,0
Wie war die Stimmung in der DDR? — Sie hielt sich in Grenzen.,0
"Was sagt ein Hai, nachdem es einen Surfer gefressen hat? — „Nett serviert, so mit Frühstücksbrettchen.",0
"Kommt ein Skelett zum Arzt, sagt der Arzt: „Bisschen spät, was?“",0
"Was sagt man, wenn ein Spanner gestorben ist? — Der ist weg vom Fenster.",0
"„Ach Papa, ich hab dich so lieb!“ — „Ohne Gentest bin ich immer noch Dieter für dich!“",0
Was macht man mit einem Hund ohne Beine? — Um die Häuser ziehen.,0
Wann gehen U-Boote unter? — Am Tag der offenen Tür.,0
"Was sagt das Schwein zum anderen? — „Es ist Wurst, was aus uns wird.“",0
Wie kommt ein Leprakranker über den Zaun? — Stück für Stück.,0
"„Warum gucken immer alle so komisch, wenn ich das Messer ablecke?“ (Christoph, 32, Chirurg)",0
Was ist schwarz und klebt an der Decke? — Ein schlechter Elektriker.,0
"Friedhofsgärtnerei — Leg dich drunter, ich mach’s bunter.",0
Was essen Seeungeheuer besonders gerne? — Fish and Ships.,0
"„Wie lange habe ich noch zu leben, Doktor?“ „10!“ „10? 10 was? Monate? Jahre?“ „9, 8, 7 …“",0
"Was bekommt ein Kannibale, der zu spät zum Essen kommt? — Die kalte Schulter.",0
Wie heißt eine chinesische Unterhosen-Fabrik? — Saki-verpakki,0
Was macht die Security in der Nudelfabrik? Die Pasta auf.,0
Warum legen Hühner Eier? Weil sie beim Werfen kaputt gehen würden.,0
Was ist das Gegenteil von Reformhaus? Reh hinterm Haus.,0
Was macht ein Pirat am Computer? Die Enter-Taste drücken.,0
Ist die Mehrzahl von Rettich Meerrettich?,0
Wie zieht man sich am besten an kalten Tagen an? Schnell.,0
"Was versteht man unter einer Turbine? Nichts, ist viel zu laut.",0
"Was ist groß, grau und telefoniert? Ein Telefant.",0
Treffen sich zwei Kerzen. Sagt die eine Kerze zur anderen: „Gehen wir heute aus?“,0
Was ist gelb und schießt? Eine Banone.,0
Was trinken Chefs? Leitungswasser.,0
